iter	Passed	Remaining
959	6963	290
960	6969	282
961	6976	275
962	6982	268
963	6988	260
964	6996	253
965	7001	246
966	7007	239
967	7013	231
968	7019	224
969	7025	217
970	7030	209
971	7039	202
972	7047	195
973	7054	188
974	7059	181
975	7066	173
976	7072	166
977	7077	159
978	7085	151
979	7092	144
980	7099	137
981	7106	130
982	7112	123
983	7119	115
984	7126	108
985	7132	101
986	7138	94
987	7144	86
988	7150	79
989	7158	72
990	7164	65
991	7170	57
992	7176	50
993	7182	43
994	7189	36
995	7195	28
996	7201	21
997	7206	14
998	7213	7
999	7218	0
